Zip_Code,Median
07420,80856.0
07421,106833.0
07423,300000.0
07424,70033.0
07430,111672.5
07432,63895.0
07436,300000.0
07439,80611.0
07442,300000.0
07444,181665.5
07446,300000.0
07451,175023.0
07452,300000.0
07458,140852.5
07462,300000.0
07463,118775.0
07465,86612.0
07470,219867.5
07480,300000.0
07481,208427.0
07501,26383.0
07502,56775.0
07503,52033.0
07506,78436.0
07508,300000.0
07512,73393.0
07514,38310.5
07522,17076.0
07524,21788.0
07601,58580.0
07603,90459.0
07604,59333.0
07605,84082.0
07607,300000.0
07621,101491.0
07626,300000.0
07628,91456.0
07631,34463.0
07632,222782.5
07641,300000.0
07642,43573.0
07643,69275.0
07644,50023.0
07646,179352.5
07647,101809.0
07648,94877.0
07649,300000.0
07650,86165.0
07652,100939.0
07656,129541.5
07657,74583.5
07660,52252.0
07661,188683.5
07663,211223.5
07666,231342.5
07670,146279.0
07675,216794.0
07701,300000.0
07702,192840.0
07712,42403.0
07716,92021.0
07719,205035.0
07720,300000.0
07723,56694.0
07724,47078.0
07726,220545.5
07727,59371.0
07728,192969.5
07730,213846.0
07731,300000.0
07733,300000.0
07734,68091.0
07735,70339.5
07737,59728.0
07738,300000.0
07739,167235.0
07740,300000.0
07746,125598.0
07747,105598.0
07748,300000.0
07751,210782.0
07753,73551.0
07757,91397.0
07758,138087.0
07760,229438.0
07762,196554.5
07764,75768.0
07801,86086.5
07803,89680.5
07823,300000.0
07825,300000.0
07826,68300.0
07828,300000.0
07830,174383.0
07834,69015.0
07836,93077.0
07838,66801.5
07839,77167.0
07840,300000.0
07843,189185.0
07844,103516.0
07849,80877.5
07851,75042.0
07853,228888.0
07860,111307.0
07866,300000.0
07869,227578.5
07871,300000.0
07874,115956.0
07875,300000.0
07882,180648.5
07901,176204.0
07920,300000.0
07922,165438.0
07924,120693.0
07928,138081.5
07930,95750.0
07940,117500.0
07946,106279.0
07950,88523.5
07960,129220.5
07974,118134.0
07981,125798.0
08003,132041.0
08004,180646.0
08005,78874.0
08008,0.0
08009,78483.0
08010,300000.0
08012,106775.0
08015,57154.0
08019,67064.0
08021,45786.0
08028,83094.0
08029,49959.0
08030,57750.5
08031,58826.0
08033,300000.0
08034,84546.0
08035,300000.0
08036,123393.0
08037,300000.0
08043,175122.5
08046,68595.0
08050,84185.5
08052,40944.0
08053,84956.0
08054,101104.5
08055,101039.0
08056,112554.0
08057,122357.5
08059,300000.0
08060,183752.5
08063,68257.0
08065,76188.0
08066,300000.0
08068,67184.0
08069,49399.0
08070,54452.5
08071,185413.0
08072,68387.0
08075,47736.0
08077,300000.0
08078,60220.0
08079,19222.5
08080,101294.0
08081,49854.0
08083,60336.5
08084,71598.0
08085,78913.0
08087,50412.5
08088,64690.0
08093,63124.0
08094,78711.0
08096,36319.0
08102,16336.5
08103,22570.5
08104,30744.0
08105,300000.0
08106,300000.0
08107,56192.5
08108,93221.0
08109,66937.0
08201,70219.0
08202,81383.5
08203,78786.5
08204,53181.0
08205,53724.0
08210,62980.5
08215,40199.0
08217,66806.0
08221,96364.0
08223,186171.5
08225,49448.0
08226,74310.0
08232,172651.5
08234,83496.0
08244,43374.0
08247,79443.0
08251,44902.5
08260,27754.0
08270,66550.0
08302,300000.0
08312,300000.0
08314,0.0
08318,73055.0
08323,70491.0
08330,300000.0
08332,57121.0
08341,46836.5
08343,76035.0
08344,72623.0
08349,56888.5
08360,47374.0
08361,81543.0
08401,31801.0
08402,300000.0
08406,68271.0
08505,96529.0
08520,300000.0
08527,80263.0
08533,300000.0
08534,300000.0
08536,86467.0
08540,211890.5
08550,163638.0
08551,114165.0
08554,81055.0
08555,123690.5
08557,88416.0
08609,23937.0
08610,180337.5
08611,38302.0
08618,39427.0
08619,56331.0
08625,99442.0
08638,88930.0
08641,54618.0
08648,54319.5
08690,300000.0
08691,300000.0
08701,30126.0
08721,202322.0
08722,72058.0
08723,300000.0
08724,92707.0
08730,130313.5
08732,57426.5
08733,300000.0
08734,59305.0
08736,94395.0
08740,70087.0
08741,102910.0
08742,89923.0
08750,81946.0
08751,28108.0
08753,300000.0
08757,36648.5
08758,67923.0
08759,39842.0
08805,49362.0
08807,129070.0
08810,300000.0
08812,300000.0
08816,103747.0
08817,89109.0
08820,300000.0
08822,300000.0
08824,115406.0
08827,92543.0
08829,104639.0
08830,87424.0
08831,125822.0
08833,123170.0
08835,60813.0
08837,300000.0
08840,205176.0
08844,93466.5
08850,200457.5
08854,204092.5
08857,63064.0
08859,89047.0
08861,59058.0
08863,81377.0
08865,76341.5
08867,79900.0
08868,98909.0
08869,60976.0
08872,300000.0
08873,108733.0
08876,56330.0
08879,187627.0
08882,55046.0
08884,79622.0
08887,300000.0
08901,46637.0
08902,54280.0
08904,300000.0
10001,40262.0
10002,65713.0
10003,300000.0
10004,0.0
10009,64532.5
10010,151229.0
10011,113208.0
10013,100142.0
10014,87816.0
10016,206401.5
10019,69242.0
10021,118963.0
10022,17622.0
10023,138993.5
10024,117939.0
10025,61453.0
10026,60981.0
10027,27836.0
10028,149720.5
10029,47120.0
10030,46529.0
10031,36252.0
10032,30407.5
10033,47528.5
10034,52455.0
10035,25408.0
10036,132578.0
10037,60791.0
10038,58285.0
10039,16696.5
10040,47446.0
10044,100418.0
10065,120888.0
10128,119374.0
10282,93920.5
10301,43056.5
10302,55724.5
10303,300000.0
10304,58560.0
10305,91021.0
10306,86687.0
10307,91815.0
10308,84453.0
10309,88283.5
10310,56013.0
